Products,Avg_Price_per_unit,Cost_per_unit,Average_Profit_per_unit,Average_units_sold,Incremental_acquisition,Increase_sale_volume
Product 1,95,92,2.8,0.6,0.0032300,0.0890600
Product 2,37,27,10,0.8,0.0010600,0.0199100
Product 3,34,26,8.5,0.6,0.0032800,0.0377800
Product 4,32,30,2.8,0.7,0.0000000,0.0856200
Product 5,62,45,16,1,0.0007900,0.0263700
Product 6,86,78,8.2,0.9,0.0000000,0.0185900
Product 7,105,77,28.1,1.9,0.0000000,0.0552700
Product 8,84,67,16.3,0.9,0.0028200,0.0672300
Product 9,69,53,16.5,1.8,0.0048400,0.0296300
Product 10,108,94,14.3,1,0.0000000,0.0381200
Product 11,84,75,9.4,0.6,0.0011100,0.0974900
Product 12,105,99,5.9,3,0.0000000,0.0376600
Product 13,32,29,2.4,0.2,0.0035100,0.0637400
Product 14,49,45,4.1,0.3,0.0003000,0.0068200
Product 15,68,53,15.6,2.1,0.0000000,0.0003700
Product 16,20,16,3.2,2.3,0.0021300,0.0076300
Product 17,105,88,17.6,2.3,0.0013200,0.0763400
Product 18,56,54,1.8,3,0.0033500,0.0685800
Product 19,98,72,26.5,0.2,0.0011100,0.0306700
Product 20,17,16,0.6,0.2,0.0027700,0.0891600
Product 21,47,39,8.1,0.5,0.0044500,0.0021600
Product 22,97,89,8,2.5,0.0026000,0.0439700
Product 23,35,31,3.3,0.3,0.0003000,0.0630100
Product 24,108,96,12.4,2.4,0.0000000,0.0690100
Product 25,47,43,3.6,2.9,0.0000000,0.0950900
Product 26,55,54,1.1,0.1,0.0000000,0.0456800
Product 27,91,69,22.3,1.5,0.0014700,0.0253800
Product 28,63,60,3.5,1.9,0.0031600,0.0552300
Product 29,41,39,2.3,1.2,0.0000000,0.0593000
Product 30,33,32,1.2,2.4,0.0020000,0.0006800
Product 31,75,68,6.9,1.6,0.0000000,0.0135700
Product 32,105,84,21.6,1.2,0.0049700,0.0966100
Product 33,20,18,2.2,1.1,0.0034100,0.0105500
Product 34,22,19,3,2.3,0.0002000,0.0138300
Product 35,47,33,14.1,0.8,0.0000000,0.0523600
Product 36,50,38,11.9,2.7,0.0000000,0.0790300
Product 37,51,36,14.5,0.6,0.0000000,0.0916100
Product 38,42,34,8.3,1.2,0.0000000,0.0678800
Product 39,39,29,10.3,0.3,0.0000000,0.0645700
Product 40,20,19,1,2,0.0000000,0.0852900
Product 41,108,85,23.7,1.2,0.0019300,0.0851800
Product 42,14,13,0.2,1.6,0.0001800,0.0813800
Product 43,110,104,6.2,1.2,0.0029900,0.0336000
Product 44,42,30,12.4,2.8,0.0036100,0.0873400
Product 45,46,43,2.2,3.1,0.0000000,0.0147600
Product 46,105,101,4.1,0.8,0.0020700,0.0444700
Product 47,47,47,0,3,0.0013400,0.0432100
Product 48,98,79,19.2,0.6,0.0000000,0.0587100
Product 49,87,63,24.2,0.6,0.0000000,0.0162800
Product 50,46,43,3.2,0.7,0.0000000,0.0156100
Product 51,73,56,17.5,0.7,0.0006200,0.0513000
Product 52,81,57,24,0.3,0.0000000,0.0341200
Product 53,103,81,22.5,1.8,0.0000000,0.0375700
Product 54,37,32,5.3,2.2,0.0000000,0.0084900
Product 55,53,37,15.5,0.2,0.0000000,0.0221400
Product 56,36,36,0.4,3,0.0005800,0.0984500
Product 57,110,90,19.5,1.1,0.0008000,0.0161000
Product 58,56,43,12.5,0.2,0.0013500,0.0948300
Product 59,11,10,1,2.6,0.0000000,0.0476400
Product 60,64,61,3.8,2.3,0.0000000,0.0558200
Product 61,22,19,3.2,1,0.0005700,0.0259400
Product 62,14,12,1.8,2.2,0.0000000,0.0217500
Product 63,101,91,9.9,1.8,0.0000000,0.0972700
Product 64,101,99,2.4,0.8,0.0000000,0.0403300
Product 65,62,58,3.8,2,0.0000000,0.0817900
Product 66,95,87,7.9,0.7,0.0000000,0.0862800
Product 67,47,34,12.8,2.1,0.0000000,0.0302700
Product 68,98,73,25.6,1.9,0.0025900,0.0341000
Product 69,78,58,19.9,1.3,0.0036700,0.0324200
Product 70,45,40,4.5,2.2,0.0035300,0.0387200
Product 71,94,75,18.7,2.2,0.0000000,0.0810100
Product 72,86,83,3,1.5,0.0030900,0.0045900
Product 73,53,41,11.8,2,0.0000000,0.0799600
Product 74,23,20,3.6,2.2,0.0000000,0.0948700
Product 75,90,75,15,0.4,0.0020600,0.0708600
Product 76,44,32,11.7,2.4,0.0000000,0.0476900
Product 77,60,52,7.3,1.9,0.0043200,0.0843600
Product 78,71,59,12.7,1.2,0.0009600,0.0783000
Product 79,42,33,9.2,1.4,0.0036500,0.0920500
Product 80,78,70,8.7,1.7,0.0044000,0.0621400
Product 81,57,50,7.2,2.4,0.0000000,0.0417800
Product 82,18,15,2.2,0.2,0.0015600,0.0825900
Product 83,78,56,21.4,1.3,0.0030100,0.0021300
Product 84,52,47,5,2.8,0.0021500,0.0072800
Product 85,21,16,4.2,2.2,0.0014600,0.0086900
Product 86,55,43,12.2,1.1,0.0047500,0.0125500
Product 87,24,24,0.3,2.8,0.0033500,0.0724800
Product 88,89,84,4.6,0.3,0.0000000,0.0204100
Product 89,82,74,7.9,1.7,0.0028500,0.0785700
Product 90,110,84,25.4,2.3,0.0016600,0.0946600
Product 91,51,42,8.5,3,0.0002500,0.0579000
Product 92,86,74,12.9,1.1,0.0036600,0.0801000
Product 93,66,63,3.5,0.9,0.0000000,0.0092200
Product 94,75,68,6.7,1.3,0.0000000,0.0849300
Product 95,35,32,3.5,1.8,0.0049900,0.0545900
Product 96,86,73,13,0.2,0.0000000,0.0613700
Product 97,87,62,24.8,0.2,0.0046800,0.0795300
Product 98,56,50,6.1,2.5,0.0019200,0.0743100
Product 99,68,66,1.9,1.2,0.0007200,0.0629300
Product 100,66,53,12.6,2,0.0040100,0.0461700
Product 101,46,39,7.5,0.1,0.0033400,0.0920700
Product 102,107,84,22.6,0.7,0.0000000,0.0708700
Product 103,110,105,5,0.2,0.0000000,0.0006500
Product 104,57,47,9.9,1.3,0.0026500,0.0752700
Product 105,73,69,3.5,0.6,0.0000000,0.0067800
Product 106,34,28,6.4,2.9,0.0000000,0.0307300
Product 107,104,78,26,2.5,0.0000000,0.0007700
Product 108,96,84,12.6,1.9,0.0000000,0.0369900
Product 109,14,14,0.2,2.7,0.0023500,0.0667300
Product 110,64,48,15.7,1.1,0.0001500,0.0496600
Product 111,99,96,2.7,2,0.0043500,0.0906300
Product 112,66,65,0.8,2.4,0.0057500,0.0222900
Product 113,69,63,5.9,2.2,0.0011300,0.0989300
Product 114,63,53,9.5,0.5,0.0003300,0.0483000
Product 115,55,47,8.5,2.1,0.0022600,0.0205000
Product 116,65,61,4.8,1.6,0.0025100,0.0984800
Product 117,20,18,2.4,0.3,0.0019200,0.0213700
Product 118,110,86,24.2,1,0.0000000,0.0583500
Product 119,23,19,3.6,1.1,0.0015900,0.0956300
Product 120,65,55,10.5,0.4,0.0010700,0.0677300
Product 121,35,32,3.4,2.7,0.0005800,0.0665800
Product 122,96,83,13,0.2,0.0028800,0.0318100
Product 123,77,54,23.2,2.1,0.0000000,0.0548700
Product 124,102,90,11.4,2.2,0.0038900,0.0012100
Product 125,27,26,0.6,1.4,0.0016600,0.0494300
Product 126,94,77,17.5,1.2,0.0028200,0.0435700
Product 127,17,13,4.3,1.4,0.0003900,0.0755200
Product 128,31,29,1.9,1,0.0021200,0.0612500
Product 129,55,55,0.1,1,0.0003200,0.0262300
Product 130,42,42,0.3,1.5,0.0000000,0.0041300
Product 131,56,48,8.3,2.6,0.0023600,0.0629100
Product 132,34,24,9.6,2.2,0.0019600,0.0503100
Product 133,77,65,11.1,2.2,0.0000000,0.0224500
Product 134,87,72,14.6,2.8,0.0029900,0.0457200
Product 135,44,43,1.5,1.7,0.0000000,0.0827300
Product 136,32,23,8.4,0.1,0.0018800,0.0476700
Product 137,33,23,9.9,2.1,0.0000000,0.0253900
Product 138,72,51,21.2,2.6,0.0004000,0.0723400
Product 139,58,46,12.2,1.2,0.0000000,0.0117000
Product 140,40,38,2.9,1.1,0.0028500,0.0094100
Product 141,79,66,12.9,0.8,0.0013500,0.0947700
Product 142,109,83,26.7,1.2,0.0000000,0.0141000
Product 143,37,30,6.1,2.9,0.0025300,0.0423800
Product 144,52,51,1.2,1.4,0.0005300,0.0905800
Product 145,83,83,0.9,3,0.0000000,0.0405000
Product 146,35,32,2.9,0.4,0.0000000,0.0716200
Product 147,102,76,26.9,1.9,0.0009500,0.0476600
Product 148,80,72,7.4,2.9,0.0013400,0.0623900
Product 149,73,65,8,0.5,0.0049500,0.0790000
Product 150,29,27,2,1.5,0.0000000,0.0425900
Product 151,52,43,9.4,0.6,0.0000200,0.0164500
Product 152,87,67,19.9,2.1,0.0017300,0.0309100
Product 153,89,68,21.7,1.2,0.0023300,0.0062600
Product 154,43,42,1,0.4,0.0017100,0.0970900
Product 155,56,51,5.6,2.4,0.0034200,0.0385700
Product 156,25,20,5.1,2.8,0.0000000,0.0430900
Product 157,85,69,15.3,1,0.0013200,0.0373300
Product 158,49,43,5.5,0.7,0.0031600,0.0649100
Product 159,46,40,6,1.3,0.0000000,0.0528900
Product 160,89,62,26.2,1.5,0.0004600,0.0183500
Product 161,69,65,4.2,2.5,0.0052300,0.0150900
Product 162,98,89,8.1,0.3,0.0018300,0.0593600
Product 163,71,54,16.5,1.3,0.0021500,0.0569600
Product 164,59,54,4.8,1.6,0.0010500,0.0274200
Product 165,39,28,11.2,0.4,0.0000000,0.0975200
Product 166,76,67,9.7,2.5,0.0000000,0.0434200
Product 167,20,19,1.1,0.5,0.0000000,0.0010500
Product 168,37,31,5.4,3,0.0013100,0.0114300
Product 169,88,74,14.8,2.6,0.0000000,0.0635000
Product 170,14,12,2.4,1,0.0061500,0.0452800
Product 171,14,12,2.6,0.6,0.0000000,0.0327600
Product 172,25,23,1.6,1.3,0.0000000,0.0354200
Product 173,50,39,11.6,2.3,0.0000000,0.0809000
Product 174,31,25,6,1.9,0.0012300,0.0994300
Product 175,80,67,12.5,1.8,0.0016700,0.0963600
Product 176,86,75,10.9,0.6,0.0000000,0.0421200
Product 177,47,39,8.5,1.9,0.0005900,0.0391600
Product 178,80,72,8.1,1.7,0.0001900,0.0132400
Product 179,81,74,6.7,1,0.0000000,0.0988700
Product 180,98,81,16.7,1.9,0.0004900,0.0601600
Product 181,98,85,13.5,1,0.0029400,0.0858900
Product 182,35,34,0.7,0.6,0.0000000,0.0894600
Product 183,104,99,5.2,2.2,0.0046900,0.0495500
Product 184,48,46,2.3,2.3,0.0047200,0.0649300
Product 185,41,34,7.1,1.9,0.0039200,0.0977700
Product 186,79,56,22.9,2.6,0.0000000,0.0959400
Product 187,20,15,5,0.7,0.0032900,0.0143500
Product 188,22,17,5.5,0.2,0.0000000,0.0876300
Product 189,89,87,2.1,0.1,0.0000000,0.0904400
Product 190,75,72,2.2,0.8,0.0000000,0.0719300
Product 191,49,43,6,0.6,0.0000000,0.0709700
Product 192,30,21,8.9,1.4,0.0000000,0.0470100
Product 193,45,39,5.9,1.3,0.0032900,0.0433300
Product 194,62,52,9.6,0.1,0.0011900,0.0593200
Product 195,27,19,8,0.2,0.0006600,0.0517800
Product 196,26,20,5.7,2.5,0.0008000,0.0526800
Product 197,59,58,0.7,1.4,0.0027100,0.0373100
Product 198,49,47,2.7,0.6,0.0000000,0.0521900
Product 199,39,34,4.3,1.7,0.0000000,0.0766600
Product 200,98,97,1.1,0.4,0.0019500,0.0514600
Product 201,62,55,7.6,2.8,0.0041500,0.0639700
Product 202,39,36,3.1,0.7,0.0000000,0.0203500
Product 203,43,36,7.3,2.3,0.0000700,0.0811100
Product 204,103,75,27.9,2.7,0.0032900,0.0617400
Product 205,22,21,0.7,1,0.0025700,0.0784800
Product 206,14,12,1.5,1.5,0.0005500,0.0097700
Product 207,70,56,13.7,1.1,0.0000000,0.0191500
Product 208,25,21,4.2,2.1,0.0000000,0.0046300
Product 209,34,29,5.2,1,0.0006300,0.0061600
Product 210,65,45,19.3,0.5,0.0025900,0.0592200
Product 211,31,26,4.8,2.2,0.0013900,0.0425600
Product 212,51,47,3.6,1.9,0.0040000,0.0880200
Product 213,102,86,15.9,0.7,0.0000000,0.0638000
Product 214,45,34,11.2,0.8,0.0001800,0.0966800
Product 215,92,68,24.1,2.2,0.0000000,0.0570600
Product 216,82,74,7.6,2.4,0.0000000,0.0186800
Product 217,28,27,1.2,2.2,0.0022000,0.0794300
Product 218,99,80,18.8,2.2,0.0038500,0.0184300
Product 219,105,75,29.7,1.3,0.0013400,0.0500000
Product 220,71,67,4.1,3.1,0.0000000,0.0559800
Product 221,104,99,5.8,1.7,0.0000000,0.0518900
Product 222,32,29,3.3,1.4,0.0024200,0.0800900
Product 223,58,43,14.6,1,0.0000000,0.0711500
Product 224,45,39,5.9,2.4,0.0035700,0.0211800
Product 225,15,14,1.2,1.8,0.0009000,0.0114700
Product 226,18,17,1,2,0.0029800,0.0656700
Product 227,33,28,4.6,0.5,0.0050800,0.0063200
Product 228,22,19,2.7,1.7,0.0019700,0.0414200
Product 229,57,53,3.9,2.8,0.0000000,0.0854800
Product 230,49,46,3.4,0.7,0.0017200,0.0688200
Product 231,10,9,1.6,2.6,0.0000000,0.0498400
Product 232,48,45,3.1,1.3,0.0017300,0.0779900
Product 233,98,69,28.7,0.3,0.0013400,0.0731600
Product 234,74,68,6.7,1.1,0.0000000,0.0206500
Product 235,83,68,14.9,1.6,0.0000000,0.0076600
Product 236,54,42,11.7,2.6,0.0044200,0.0937600
Product 237,37,37,0.2,1.4,0.0000000,0.0409700
Product 238,14,14,0.6,2.3,0.0000000,0.0805300
Product 239,52,50,1.5,2,0.0000000,0.0528200
Product 240,107,87,19.6,1.1,0.0000000,0.0274800
Product 241,89,79,9.9,2.4,0.0002400,0.0103300
Product 242,65,63,1.9,0.7,0.0000000,0.0856300
Product 243,69,55,14.6,2.9,0.0018300,0.0814400
Product 244,85,67,17.9,1.8,0.0000000,0.0009000
Product 245,100,75,24.3,1,0.0007600,0.0154600
Product 246,23,21,2,1.5,0.0029000,0.0712900
Product 247,59,57,1.5,0.5,0.0000000,0.0590500
Product 248,16,15,0.9,1.6,0.0009500,0.0483500
Product 249,84,71,13.2,0.8,0.0026400,0.0047300
Product 250,38,28,9.7,2.1,0.0054000,0.0214900
